FECHA,USDT
9/1/2024,10.76
9/2/2024,10.91
9/3/2024,10.92
9/4/2024,10.92
9/5/2024,10.66
9/6/2024,10.59
9/7/2024,10.62
9/8/2024,10.78
9/9/2024,10.81
9/10/2024,10.81
9/11/2024,10.79
9/12/2024,10.75
9/13/2024,10.75
9/14/2024,10.65
9/15/2024,10.65
9/16/2024,10.6
9/17/2024,10.62
9/18/2024,10.62
9/19/2024,10.62
9/20/2024,10.55
9/21/2024,10.61
9/22/2024,10.62
9/23/2024,10.56
9/24/2024,10.58
9/25/2024,10.59
9/26/2024,10.63
9/27/2024,10.64
9/28/2024,10.6
9/29/2024,10.62
9/30/2024,10.59
10/1/2024,10.51
10/2/2024,10.55
10/3/2024,10.59
10/4/2024,10.55
10/5/2024,10.5
10/6/2024,10.49
10/7/2024,10.48
10/8/2024,10.51
10/9/2024,10.59
10/10/2024,10.59
10/11/2024,10.6
10/12/2024,10.59
10/13/2024,10.58
10/14/2024,10.58
10/15/2024,10.58
10/16/2024,10.58
10/17/2024,10.62
10/18/2024,10.64
10/19/2024,10.61
10/20/2024,10.63
10/21/2024,10.64
10/22/2024,10.65
10/23/2024,10.67
10/24/2024,10.67
10/25/2024,10.67
10/26/2024,10.67
10/27/2024,10.64
10/28/2024,10.63
10/29/2024,10.67
10/30/2024,10.66
10/31/2024,10.64
11/1/2024,10.62
11/2/2024,10.6
11/3/2024,10.59
11/4/2024,10.54
11/5/2024,10.56
11/6/2024,10.59
11/7/2024,10.56
11/8/2024,10.58
11/9/2024,10.55
11/10/2024,10.59
11/11/2024,10.58
11/12/2024,10.6
11/13/2024,10.62
11/14/2024,10.67
11/15/2024,10.68
11/16/2024,10.67
11/17/2024,10.67
11/18/2024,10.7
11/19/2024,10.8
11/20/2024,11.12
11/21/2024,11.43
11/22/2024,12.05
11/23/2024,12.14
11/24/2024,11.91
11/25/2024,11.65
11/26/2024,11.28
11/27/2024,11.13
11/28/2024,11.13
11/29/2024,11.15
11/30/2024,11.07
12/1/2024,11.1
12/2/2024,11.07
12/3/2024,11.07
12/4/2024,11.1
12/5/2024,11.14
12/6/2024,11.14
12/7/2024,11.09
12/8/2024,11.11
12/9/2024,11.07
12/10/2024,11.06
12/11/2024,11.08
12/12/2024,11.09
12/13/2024,11.1
12/14/2024,11.1
12/15/2024,11.09
12/16/2024,11.08
12/17/2024,11.08
12/18/2024,11.09
12/19/2024,11.24
12/20/2024,11.25
12/21/2024,11.22
12/22/2024,11.2
12/23/2024,11.1
12/24/2024,11.08
12/25/2024,11.1
12/26/2024,11.11
12/27/2024,11.1
12/28/2024,11.1
12/29/2024,11.1
12/30/2024,11.12
12/31/2024,11.09
1/1/2025,11.11
1/2/2025,11.11
1/3/2025,11.1
1/4/2025,11.1
1/5/2025,11.1
1/6/2025,11.09
1/7/2025,11.1
1/8/2025,11.15
1/9/2025,11.19
1/10/2025,11.19
1/11/2025,11.18
1/12/2025,11.19
1/13/2025,11.2
1/14/2025,11.24
1/15/2025,11.24
1/16/2025,11.29
1/17/2025,11.32
1/18/2025,11.29
1/19/2025,11.36
1/20/2025,11.35
1/21/2025,11.37
1/22/2025,11.3
1/23/2025,11.31
1/24/2025,11.31
1/25/2025,11.3
1/26/2025,11.3
1/27/2025,11.29
1/28/2025,11.29
1/29/2025,11.28
1/30/2025,11.25
1/31/2025,11.26
2/1/2025,11.2
2/2/2025,11.18
2/3/2025,11.22
2/4/2025,11.17
2/5/2025,11.17
2/6/2025,11.2
2/7/2025,11.2
2/8/2025,11.19
2/9/2025,11.19
2/10/2025,11.19
2/11/2025,11.19
2/12/2025,11.21
2/13/2025,11.24
2/14/2025,11.22
2/15/2025,11.2
